survey_id,water_id,water_id_num,lon,lat,utm_x,utm_y,transect_location,transect_GRR,transect_id,river_class,year,week,weeks_all,juldate,dry_season,distance_to_water,distance_to_water_rounded,species,species_id,FEEDTYPE_A,feed_type_A_char,species_count
1,726,726,34.971580,-7.65774,717486,9153040,1,alongside,9,2_midstream,2011,1,1,6,early,509.71,510,I,1,3,mixed,17
3,730,730,34.976090,-7.65819,717983,9152988,1,alongside,9,2_midstream,2011,1,1,6,early,422,422,I,1,3,mixed,7
4,733,733,34.978710,-7.65819,718272,9152987,1,alongside,9,2_midstream,2011,1,1,6,early,409.15,409,I,1,3,mixed,1
5,744,744,34.986360,-7.65722,719117,9153090,1,alongside,9,2_midstream,2011,1,1,6,early,307.18,307,I,1,3,mixed,1
6,761,761,34.988970,-7.63974,719414,9155023,1,alongside,9,2_midstream,2011,1,1,6,early,914.39,914,I,1,3,mixed,1
7,762,762,34.989320,-7.63795,719453,9155220,1,alongside,9,2_midstream,2011,1,1,6,early,1041.33,1041,Z,5,1,grazer,5
8,762,762,34.989320,-7.63795,719453,9155220,1,alongside,9,2_midstream,2011,1,1,6,early,1041.33,1041,I,1,3,mixed,7
9,762,762,34.989320,-7.63795,719453,9155220,1,alongside,9,2_midstream,2011,1,1,6,early,1041.33,1041,Wh,6,4,omni,5
10,773,773,34.989590,-7.63633,719484,9155400,1,alongside,9,2_midstream,2011,1,1,6,early,1093.15,1093,I,1,3,mixed,7
11,773,773,34.989590,-7.63633,719484,9155400,1,alongside,9,2_midstream,2011,1,1,6,early,1093.15,1093,G,2,2,browser,1
12,782,782,34.990370,-7.63251,719572,9155822,1,alongside,9,2_midstream,2011,1,1,6,early,958.8,959,I,1,3,mixed,3
14,782,782,34.990500,-7.63148,719587,9155936,1,alongside,9,2_midstream,2011,1,1,6,early,910.48,910,G,2,2,browser,1
15,786,786,34.995460,-7.62403,720138,9156757,1,alongside,9,2_midstream,2011,1,1,6,early,397.29,397,I,1,3,mixed,10
16,797,797,35.004800,-7.61958,721171,9157245,1,alongside,9,2_midstream,2011,1,1,6,early,216.46,216,I,1,3,mixed,42
17,817,817,35.001590,-7.60614,720824,9158733,1,alongside,9,2_midstream,2011,1,1,6,early,463.77,464,I,1,3,mixed,6
18,836,836,35.009540,-7.58773,721711,9160765,1,alongside,9,2_midstream,2011,1,1,6,early,331.89,332,I,1,3,mixed,24
20,478,478,34.843370,-7.78797,703275,9138699,1,alongside,7,1_upstream,2011,1,1,7,early,204.82,205,I,1,3,mixed,17
21,455,455,34.831480,-7.79411,701961,9138026,1,alongside,7,1_upstream,2011,1,1,7,early,285.59,286,I,1,3,mixed,3
22,455,455,34.831480,-7.79411,701961,9138026,1,alongside,7,1_upstream,2011,1,1,7,early,285.59,286,I,1,3,mixed,1
23,483,483,34.848310,-7.78543,703822,9138978,1,alongside,7,1_upstream,2011,1,1,7,early,273.79,274,I,1,3,mixed,1
24,476,476,34.842520,-7.7886,703181,9138630,1,alongside,7,1_upstream,2011,1,1,7,early,232.66,233,K,4,2,browser,5
25,476,476,34.842520,-7.7886,703181,9138630,1,alongside,7,1_upstream,2011,1,1,7,early,232.66,233,I,1,3,mixed,8
27,468,468,34.839160,-7.79616,702807,9137795,1,alongside,7,1_upstream,2011,1,1,7,early,135.71,136,I,1,3,mixed,1
29,442,442,34.820590,-7.79742,700758,9137665,1,alongside,7,1_upstream,2011,1,1,7,early,264.2,264,K,4,2,browser,7
30,438,438,34.816620,-7.79712,700320,9137700,1,alongside,7,1_upstream,2011,1,1,7,early,294.02,294,I,1,3,mixed,5
31,437,437,34.815460,-7.79641,700193,9137779,1,alongside,7,1_upstream,2011,1,1,7,early,372.77,373,I,1,3,mixed,37
32,432,432,34.810020,-7.79808,699592,9137597,1,alongside,7,1_upstream,2011,1,1,7,early,362.74,363,I,1,3,mixed,13
33,390,390,34.779840,-7.81535,696255,9135701,1,alongside,7,1_upstream,2011,1,1,7,early,260.89,261,I,1,3,mixed,12
35,879,879,35.037230,-7.56023,724781,9163793,1,alongside,10,3_downstream,2011,1,1,9,early,442.42,442,I,1,3,mixed,8
37,945,945,35.081340,-7.53164,729665,9166933,1,alongside,10,3_downstream,2011,1,1,9,early,344.19,344,Wb,9,1,grazer,2
38,946,946,35.082700,-7.53167,729815,9166929,1,alongside,10,3_downstream,2011,1,1,9,early,389.92,390,Wb,9,1,grazer,1
39,964,964,35.092850,-7.52607,730939,9167543,1,alongside,10,3_downstream,2011,1,1,9,early,265.24,265,I,1,3,mixed,23
41,987,987,35.105310,-7.51013,732323,9169299,1,alongside,10,3_downstream,2011,1,1,9,early,351.52,352,E,3,3,mixed,13
42,990,990,35.107060,-7.5094,732516,9169379,1,alongside,10,3_downstream,2011,1,1,9,early,292.08,292,E,3,3,mixed,4
44,1003,1003,35.109200,-7.49918,732758,9170509,1,alongside,10,3_downstream,2011,1,1,9,early,273.82,274,G,2,2,browser,5
45,1004,1004,35.110080,-7.49831,732856,9170604,1,alongside,10,3_downstream,2011,1,1,9,early,265.88,266,G,2,2,browser,3
46,1006,1006,35.112340,-7.49616,733106,9170841,1,alongside,10,3_downstream,2011,1,1,9,early,326.73,327,I,1,3,mixed,10
47,1018,1018,35.121810,-7.49068,734155,9171442,1,alongside,10,3_downstream,2011,1,1,9,early,306.54,307,I,1,3,mixed,6
48,1021,1021,35.125300,-7.4913,734540,9171372,1,alongside,10,3_downstream,2011,1,1,9,early,204.53,205,I,1,3,mixed,1
49,1028,1028,35.132790,-7.49331,735366,9171145,1,alongside,10,3_downstream,2011,1,1,9,early,449.62,450,Wb,9,1,grazer,1
50,1046,1046,35.140100,-7.48704,736176,9171835,1,alongside,10,3_downstream,2011,1,1,9,early,403.92,404,I,1,3,mixed,17
59,450,450,34.819920,-7.78234,700691,9139333,2,perpendicular,3,1_upstream,2011,1,1,11,early,1785.49,1785,I,1,3,mixed,1
60,478,478,34.826530,-7.76535,701429,9141209,2,perpendicular,3,1_upstream,2011,1,1,11,early,3299.58,3300,I,1,3,mixed,11
61,478,478,34.828350,-7.76383,701630,9141376,2,perpendicular,3,1_upstream,2011,1,1,11,early,3317.97,3318,I,1,3,mixed,9
62,478,478,34.826110,-7.75706,701386,9142126,2,perpendicular,3,1_upstream,2011,1,1,11,early,4083.69,4084,I,1,3,mixed,6
63,451,451,34.811390,-7.7488,699766,9143047,2,perpendicular,3,1_upstream,2011,1,1,11,early,5586.87,5587,Wh,6,4,omni,4
65,282,282,34.692340,-7.8429,686591,9132694,1,alongside,6,1_upstream,2011,1,1,12,early,327.87,328,I,1,3,mixed,1
66,220,220,34.652470,-7.87281,682181,9129403,1,alongside,6,1_upstream,2011,1,1,12,early,289,289,I,1,3,mixed,6
67,187,187,34.625630,-7.88579,679216,9127979,1,alongside,6,1_upstream,2011,1,1,12,early,258.85,259,I,1,3,mixed,4
68,154,154,34.601140,-7.89701,676511,9126749,1,alongside,6,1_upstream,2011,1,1,12,early,258.32,258,I,1,3,mixed,1
70,143,143,34.593150,-7.89598,675630,9126866,1,alongside,6,1_upstream,2011,1,1,12,early,412.64,413,I,1,3,mixed,1
72,1339,1339,34.567250,-7.85814,672790,9131062,2,perpendicular,1,1_upstream,2011,1,1,13,early,1156.3,1156,G,2,2,browser,4
73,1339,1339,34.553040,-7.8405,671230,9133018,2,perpendicular,1,1_upstream,2011,1,1,13,early,3569.02,3569,I,1,3,mixed,8
78,671,671,34.930270,-7.67618,712918,9151021,2,perpendicular,4,2_midstream,2011,1,1,14,early,1087.77,1088,Z,5,1,grazer,14
79,684,684,34.930900,-7.67506,712988,9151145,2,perpendicular,4,2_midstream,2011,1,1,14,early,1067.29,1067,I,1,3,mixed,1
80,684,684,34.930470,-7.67381,712941,9151284,2,perpendicular,4,2_midstream,2011,1,1,14,early,1119.82,1120,Z,5,1,grazer,1
85,1338,1338,34.915770,-7.65457,711328,9153419,2,perpendicular,4,2_midstream,2011,1,1,14,early,2913.34,2913,G,2,2,browser,1
86,1338,1338,34.911020,-7.63728,710813,9155334,2,perpendicular,4,2_midstream,2011,1,1,14,early,1203.64,1204,Z,5,1,grazer,4
88,1334,1334,34.917310,-7.61582,711517,9157704,2,perpendicular,4,2_midstream,2011,1,1,14,early,86.15,86,E,3,3,mixed,1
90,1334,1334,34.919810,-7.59578,711803,9159920,2,perpendicular,4,2_midstream,2011,1,1,14,early,2320.32,2320,G,2,2,browser,8
91,1334,1334,34.919810,-7.59578,711803,9159920,2,perpendicular,4,2_midstream,2011,1,1,14,early,2320.32,2320,I,1,3,mixed,8
92,1320,1320,34.886870,-7.56556,708182,9163278,2,perpendicular,4,2_midstream,2011,1,1,14,early,4122.05,4122,G,2,2,browser,1
93,1320,1320,34.887810,-7.5563,708290,9164302,2,perpendicular,4,2_midstream,2011,1,1,14,early,5146.75,5147,K,4,2,browser,4
95,663,663,34.928610,-7.68163,712732,9150419,1,alongside,8,2_midstream,2011,1,1,15,early,624.87,625,I,1,3,mixed,1
98,640,640,34.914110,-7.69077,711127,9149416,1,alongside,8,2_midstream,2011,1,1,15,early,236.48,236,I,1,3,mixed,1
99,635,635,34.906820,-7.69184,710322,9149301,1,alongside,8,2_midstream,2011,1,1,15,early,536.7,537,E,3,3,mixed,1
100,568,568,34.860450,-7.7224,705191,9145943,1,alongside,8,2_midstream,2011,1,1,15,early,1501.06,1501,K,4,2,browser,4
101,563,563,34.865860,-7.7364,705781,9144392,1,alongside,8,2_midstream,2011,1,1,15,early,196.6,197,I,1,3,mixed,5
102,558,558,34.867170,-7.74288,705923,9143675,1,alongside,8,2_midstream,2011,1,1,15,early,363.45,363,I,1,3,mixed,6
103,546,546,34.870630,-7.74904,706302,9142992,1,alongside,8,2_midstream,2011,1,1,15,early,179.36,179,I,1,3,mixed,28
104,505,505,34.857460,-7.77499,704836,9140128,1,alongside,8,2_midstream,2011,1,1,15,early,243.89,244,I,1,3,mixed,12
105,1336,1336,34.692110,-7.8015,686585,9137272,2,perpendicular,2,1_upstream,2011,1,1,16,early,2251.72,2252,K,4,2,browser,4
107,1336,1336,34.665840,-7.78194,683696,9139447,2,perpendicular,2,1_upstream,2011,1,1,16,early,5720.71,5721,I,1,3,mixed,15
108,1336,1336,34.665010,-7.78206,683604,9139434,2,perpendicular,2,1_upstream,2011,1,1,16,early,5774.35,5774,I,1,3,mixed,4
109,1317,1317,34.623360,-7.7857,679008,9139050,2,perpendicular,2,1_upstream,2011,1,1,16,early,2487.32,2487,I,1,3,mixed,7
110,1317,1317,34.604770,-7.7736,676963,9140396,2,perpendicular,2,1_upstream,2011,1,1,16,early,39.12,39,G,2,2,browser,1
111,689,689,34.940120,-7.66835,714009,9151883,1,alongside,9,2_midstream,2011,2,2,20,early,422.17,422,I,1,3,mixed,1
114,696,696,34.939470,-7.65751,713942,9153082,1,alongside,9,2_midstream,2011,2,2,20,early,1382.5,1382,I,1,3,mixed,1
115,696,696,34.942900,-7.65479,714322,9153381,1,alongside,9,2_midstream,2011,2,2,20,early,1446.54,1447,I,1,3,mixed,2
118,732,732,34.977980,-7.65875,718191,9152925,1,alongside,9,2_midstream,2011,2,2,20,early,356.07,356,I,1,3,mixed,18
120,1330,1330,34.987840,-7.65462,719281,9153377,1,alongside,9,2_midstream,2011,2,2,20,early,217.59,218,I,1,3,mixed,4
121,1330,1330,34.989250,-7.64944,719440,9153950,1,alongside,9,2_midstream,2011,2,2,20,early,430.03,430,I,1,3,mixed,3
122,760,760,34.988530,-7.6445,719363,9154496,1,alongside,9,2_midstream,2011,2,2,20,early,649.57,650,I,1,3,mixed,1
123,782,782,34.990610,-7.63099,719599,9155990,1,alongside,9,2_midstream,2011,2,2,20,early,887.05,887,G,2,2,browser,1
124,782,782,34.990610,-7.63099,719599,9155990,1,alongside,9,2_midstream,2011,2,2,20,early,887.05,887,I,1,3,mixed,9
125,782,782,34.990610,-7.63099,719599,9155990,1,alongside,9,2_midstream,2011,2,2,20,early,887.05,887,I,1,3,mixed,4
126,784,784,34.992820,-7.62732,719845,9156395,1,alongside,9,2_midstream,2011,2,2,20,early,590.43,590,I,1,3,mixed,2
128,796,796,35.004400,-7.61973,721127,9157228,1,alongside,9,2_midstream,2011,2,2,20,early,235.71,236,I,1,3,mixed,1
129,805,805,35.006630,-7.6134,721376,9157927,1,alongside,9,2_midstream,2011,2,2,20,early,269.78,270,I,1,3,mixed,18
130,809,809,35.007060,-7.61105,721425,9158187,1,alongside,9,2_midstream,2011,2,2,20,early,157.47,157,I,1,3,mixed,1
131,815,815,35.004220,-7.60781,721113,9158547,1,alongside,9,2_midstream,2011,2,2,20,early,313.25,313,I,1,3,mixed,9
132,816,816,35.003790,-7.60653,721066,9158689,1,alongside,9,2_midstream,2011,2,2,20,early,264.61,265,I,1,3,mixed,22
133,817,817,35.003080,-7.60515,720989,9158842,1,alongside,9,2_midstream,2011,2,2,20,early,268.73,269,I,1,3,mixed,5
134,834,834,35.008710,-7.58902,721618,9160623,1,alongside,9,2_midstream,2011,2,2,20,early,343.45,343,B,10,1,grazer,300
135,836,836,35.010310,-7.58683,721796,9160864,1,alongside,9,2_midstream,2011,2,2,20,early,328.16,328,I,1,3,mixed,7
138,420,420,34.801260,-7.80495,698622,9136841,1,alongside,7,1_upstream,2011,2,2,21,early,486.21,486,I,1,3,mixed,7
139,415,415,34.798720,-7.80942,698340,9136348,1,alongside,7,1_upstream,2011,2,2,21,early,301.22,301,G,2,2,browser,3
140,366,366,34.759400,-7.82295,693997,9134870,1,alongside,7,1_upstream,2011,2,2,21,early,262.07,262,G,2,2,browser,2
141,348,348,34.744740,-7.8261,692378,9134528,1,alongside,7,1_upstream,2011,2,2,21,early,279.79,280,I,1,3,mixed,1
142,671,671,34.930330,-7.67609,712924,9151031,2,perpendicular,4,2_midstream,2011,2,2,22,early,1091.82,1092,I,1,3,mixed,1
143,685,685,34.928530,-7.67062,712729,9151637,2,perpendicular,4,2_midstream,2011,2,2,22,early,1383.83,1384,Wb,9,1,grazer,1
144,685,685,34.928480,-7.66891,712724,9151826,2,perpendicular,4,2_midstream,2011,2,2,22,early,1450.23,1450,Wb,9,1,grazer,1
145,685,685,34.927760,-7.6675,712645,9151983,2,perpendicular,4,2_midstream,2011,2,2,22,early,1587.61,1588,Z,5,1,grazer,1
147,1338,1338,34.916180,-7.65558,711373,9153307,2,perpendicular,4,2_midstream,2011,2,2,22,early,3031.74,3032,Z,5,1,grazer,3
148,1334,1334,34.916500,-7.62535,711423,9156651,2,perpendicular,4,2_midstream,2011,2,2,22,early,971.09,971,G,2,2,browser,2
149,1334,1334,34.916740,-7.62431,711450,9156765,2,perpendicular,4,2_midstream,2011,2,2,22,early,855.25,855,I,1,3,mixed,21
150,1334,1334,34.916740,-7.62432,711450,9156764,2,perpendicular,4,2_midstream,2011,2,2,22,early,856.25,856,I,1,3,mixed,1
151,1334,1334,34.921470,-7.61084,711979,9158253,2,perpendicular,4,2_midstream,2011,2,2,22,early,788.23,788,I,1,3,mixed,7
152,1334,1334,34.924780,-7.60024,712349,9159424,2,perpendicular,4,2_midstream,2011,2,2,22,early,1990.53,1991,I,1,3,mixed,9
153,1334,1334,34.924780,-7.60024,712349,9159424,2,perpendicular,4,2_midstream,2011,2,2,22,early,1990.53,1991,I,1,3,mixed,2
154,1334,1334,34.923370,-7.59882,712195,9159582,2,perpendicular,4,2_midstream,2011,2,2,22,early,2079.37,2079,G,2,2,browser,1
155,1334,1334,34.919430,-7.59536,711761,9159966,2,perpendicular,4,2_midstream,2011,2,2,22,early,2361.17,2361,G,2,2,browser,3
156,1320,1320,34.887560,-7.56914,708257,9162882,2,perpendicular,4,2_midstream,2011,2,2,22,early,3726.41,3726,I,1,3,mixed,2
157,1320,1320,34.887110,-7.55825,708212,9164087,2,perpendicular,4,2_midstream,2011,2,2,22,early,4931.01,4931,I,1,3,mixed,4
160,452,452,34.823980,-7.7686,701146,9140851,2,perpendicular,3,1_upstream,2011,2,2,23,early,3122.33,3122,I,1,3,mixed,17
161,505,505,34.827870,-7.75328,701582,9142543,2,perpendicular,3,1_upstream,2011,2,2,23,early,4296.08,4296,Wh,6,4,omni,4
162,505,505,34.827620,-7.75004,701556,9142902,2,perpendicular,3,1_upstream,2011,2,2,23,early,4538.8,4539,G,2,2,browser,1
164,451,451,34.812760,-7.74863,699917,9143065,2,perpendicular,3,1_upstream,2011,2,2,23,early,5558.94,5559,Wh,6,4,omni,4
165,451,451,34.809630,-7.74958,699572,9142961,2,perpendicular,3,1_upstream,2011,2,2,23,early,5569.57,5570,K,4,2,browser,1
167,432,432,34.781540,-7.74881,696473,9143059,2,perpendicular,3,1_upstream,2011,2,2,23,early,6651.67,6652,Wh,6,4,omni,2
170,1336,1336,34.681810,-7.79422,685452,9138082,2,perpendicular,2,1_upstream,2011,2,2,25,early,3543.24,3543,G,2,2,browser,1
171,1317,1317,34.628280,-7.76735,679559,9141077,2,perpendicular,2,1_upstream,2011,2,2,25,early,2710.58,2711,G,2,2,browser,1
172,1317,1317,34.608880,-7.77881,677414,9139818,2,perpendicular,2,1_upstream,2011,2,2,25,early,770.1,770,G,2,2,browser,1
173,1317,1317,34.607920,-7.77697,677309,9140022,2,perpendicular,2,1_upstream,2011,2,2,25,early,547.42,547,G,2,2,browser,2
174,1317,1317,34.606200,-7.77456,677120,9140289,2,perpendicular,2,1_upstream,2011,2,2,25,early,229.09,229,I,1,3,mixed,5
175,1317,1317,34.606200,-7.77456,677120,9140289,2,perpendicular,2,1_upstream,2011,2,2,25,early,229.09,229,Wh,6,4,omni,1
178,663,663,34.927610,-7.68235,712621,9150340,1,alongside,8,2_midstream,2011,2,2,26,early,599.91,600,I,1,3,mixed,37
179,662,662,34.927350,-7.68394,712592,9150165,1,alongside,8,2_midstream,2011,2,2,26,early,463.2,463,I,1,3,mixed,13
180,629,629,34.897570,-7.69424,709301,9149040,1,alongside,8,2_midstream,2011,2,2,26,early,1327.85,1328,Wb,9,1,grazer,3
181,629,629,34.897570,-7.69424,709301,9149040,1,alongside,8,2_midstream,2011,2,2,26,early,1327.85,1328,I,1,3,mixed,2
182,594,594,34.880860,-7.70849,707450,9147472,1,alongside,8,2_midstream,2011,2,2,26,early,1611.76,1612,I,1,3,mixed,16
183,579,579,34.875820,-7.71171,706892,9147118,1,alongside,8,2_midstream,2011,2,2,26,early,1583.02,1583,I,1,3,mixed,3
184,578,578,34.871100,-7.71355,706371,9146917,1,alongside,8,2_midstream,2011,2,2,26,early,1451.71,1452,I,1,3,mixed,6
185,569,569,34.859140,-7.71908,705048,9146311,1,alongside,8,2_midstream,2011,2,2,26,early,1873.82,1874,I,1,3,mixed,10
186,561,561,34.865540,-7.74017,705744,9143975,1,alongside,8,2_midstream,2011,2,2,26,early,321.2,321,I,1,3,mixed,14
187,559,559,34.866230,-7.74143,705820,9143836,1,alongside,8,2_midstream,2011,2,2,26,early,345.59,346,I,1,3,mixed,9
188,542,542,34.870150,-7.75286,706247,9142570,1,alongside,8,2_midstream,2011,2,2,26,early,256,256,I,1,3,mixed,2
189,532,532,34.868690,-7.76379,706080,9141361,1,alongside,8,2_midstream,2011,2,2,26,early,464.39,464,I,1,3,mixed,19
190,524,524,34.869100,-7.7666,706124,9141050,1,alongside,8,2_midstream,2011,2,2,26,early,452.37,452,I,1,3,mixed,1
191,520,520,34.868880,-7.77014,706098,9140659,1,alongside,8,2_midstream,2011,2,2,26,early,261.59,262,I,1,3,mixed,2
192,513,513,34.866110,-7.7719,705792,9140466,1,alongside,8,2_midstream,2011,2,2,26,early,312.08,312,E,3,3,mixed,4
193,504,504,34.856760,-7.7761,704758,9140005,1,alongside,8,2_midstream,2011,2,2,26,early,251.92,252,I,1,3,mixed,2
194,486,486,34.852120,-7.78396,704243,9139138,1,alongside,8,2_midstream,2011,2,2,26,early,381.11,381,E,3,3,mixed,8
195,486,486,34.851630,-7.78394,704189,9139141,1,alongside,8,2_midstream,2011,2,2,26,early,386.63,387,I,1,3,mixed,21
196,197,197,34.634100,-7.88077,680152,9128531,1,alongside,6,1_upstream,2011,2,2,27,early,267.43,267,B,10,1,grazer,200
198,136,136,34.584930,-7.89879,674722,9126559,2,perpendicular,1,1_upstream,2011,2,2,28,early,309.89,310,I,1,3,mixed,10
199,137,137,34.579680,-7.89245,674146,9127262,2,perpendicular,1,1_upstream,2011,2,2,28,early,1213.76,1214,E,3,3,mixed,2
200,1339,1339,34.537670,-7.88316,669518,9128307,2,perpendicular,1,1_upstream,2011,2,2,28,early,3855.34,3855,I,1,3,mixed,1
204,1339,1339,34.548670,-7.82022,670756,9135263,2,perpendicular,1,1_upstream,2011,2,2,28,early,5793.95,5794,I,1,3,mixed,3
214,862,862,35.021470,-7.56588,723039,9163176,1,alongside,10,3_downstream,2011,2,2,29,early,1019.87,1020,I,1,3,mixed,7
222,899,899,35.049610,-7.54899,726154,9165030,1,alongside,10,3_downstream,2011,2,2,29,early,325,325,I,1,3,mixed,20
223,899,899,35.049610,-7.54899,726154,9165030,1,alongside,10,3_downstream,2011,2,2,29,early,325,325,Z,5,1,grazer,4
224,918,918,35.056820,-7.5367,726956,9166386,1,alongside,10,3_downstream,2011,2,2,29,early,202.55,203,G,2,2,browser,1
225,921,921,35.058500,-7.53243,727143,9166857,1,alongside,10,3_downstream,2011,2,2,29,early,274.87,275,I,1,3,mixed,5
229,1004,1004,35.110200,-7.49816,732869,9170621,1,alongside,10,3_downstream,2011,2,2,29,early,269.65,270,I,1,3,mixed,34
231,1014,1014,35.117450,-7.4931,733672,9171177,1,alongside,10,3_downstream,2011,2,2,29,early,263.91,264,G,2,2,browser,1
232,1015,1015,35.118480,-7.49257,733786,9171235,1,alongside,10,3_downstream,2011,2,2,29,early,249.8,250,I,1,3,mixed,5
233,1018,1018,35.121340,-7.49102,734103,9171405,1,alongside,10,3_downstream,2011,2,2,29,early,287.04,287,E,3,3,mixed,6
234,1026,1026,35.130920,-7.49279,735159,9171204,1,alongside,10,3_downstream,2011,2,2,29,early,377.78,378,I,1,3,mixed,5
235,1026,1026,35.130920,-7.49279,735159,9171204,1,alongside,10,3_downstream,2011,2,2,29,early,377.78,378,K,4,2,browser,4
236,1028,1028,35.132990,-7.4934,735388,9171135,1,alongside,10,3_downstream,2011,2,2,29,early,456.17,456,Wb,9,1,grazer,3
238,1041,1041,35.136860,-7.49243,735815,9171241,1,alongside,10,3_downstream,2011,2,2,29,early,224.12,224,I,1,3,mixed,15
239,1041,1041,35.136860,-7.49243,735815,9171241,1,alongside,10,3_downstream,2011,2,2,29,early,224.12,224,I,1,3,mixed,2
242,1179,1179,35.214680,-7.4228,744446,9178901,2,perpendicular,5,3_downstream,2011,2,2,30,early,4253.48,4253,I,1,3,mixed,1
243,1179,1179,35.211920,-7.4207,744143,9179135,2,perpendicular,5,3_downstream,2011,2,2,30,early,4600.68,4601,I,1,3,mixed,3
246,692,692,34.937800,-7.66151,713756,9152640,1,alongside,9,2_midstream,2011,3,3,33,early,1162.07,1162,I,1,3,mixed,7
247,696,696,34.939460,-7.65752,713941,9153081,1,alongside,9,2_midstream,2011,3,3,33,early,1382.39,1382,I,1,3,mixed,14
248,726,726,34.971370,-7.65805,717462,9153006,1,alongside,9,2_midstream,2011,3,3,33,early,481.96,482,I,1,3,mixed,32
249,740,740,34.984830,-7.65856,718947,9152943,1,alongside,9,2_midstream,2011,3,3,33,early,256.63,257,I,1,3,mixed,11
250,743,743,34.986150,-7.65744,719094,9153066,1,alongside,9,2_midstream,2011,3,3,33,early,305.53,306,I,1,3,mixed,2
252,753,753,34.988960,-7.65178,719407,9153691,1,alongside,9,2_midstream,2011,3,3,33,early,431.72,432,I,1,3,mixed,2
253,762,762,34.989270,-7.63813,719448,9155201,1,alongside,9,2_midstream,2011,3,3,33,early,1029.5,1030,I,1,3,mixed,2
254,781,781,34.990080,-7.63387,719539,9155671,1,alongside,9,2_midstream,2011,3,3,33,early,1049.02,1049,G,2,2,browser,2
255,782,782,34.990380,-7.63253,719573,9155819,1,alongside,9,2_midstream,2011,3,3,33,early,958.92,959,I,1,3,mixed,2
256,785,785,34.993550,-7.62665,719926,9156468,1,alongside,9,2_midstream,2011,3,3,33,early,519.31,519,I,1,3,mixed,1
258,801,801,35.005940,-7.61671,721298,9157561,1,alongside,9,2_midstream,2011,3,3,33,early,243.51,244,I,1,3,mixed,3
259,806,806,35.006700,-7.6132,721384,9157949,1,alongside,9,2_midstream,2011,3,3,33,early,260.97,261,I,1,3,mixed,2
260,816,816,35.003490,-7.60594,721034,9158754,1,alongside,9,2_midstream,2011,3,3,33,early,261.7,262,I,1,3,mixed,30
261,818,818,34.999520,-7.60425,720596,9158943,1,alongside,9,2_midstream,2011,3,3,33,early,624.09,624,I,1,3,mixed,8
262,822,822,35.001260,-7.59735,720792,9159705,1,alongside,9,2_midstream,2011,3,3,33,early,619.88,620,B,10,1,grazer,300
264,836,836,35.009770,-7.58748,721736,9160793,1,alongside,9,2_midstream,2011,3,3,33,early,324.78,325,I,1,3,mixed,35
266,457,457,34.833780,-7.79456,702214,9137975,1,alongside,7,1_upstream,2011,3,3,34,early,306.23,306,I,1,3,mixed,5
267,395,395,34.785440,-7.81435,696873,9135809,1,alongside,7,1_upstream,2011,3,3,34,early,279.87,280,I,1,3,mixed,9
268,381,381,34.771030,-7.8163,695283,9135600,1,alongside,7,1_upstream,2011,3,3,34,early,369.6,370,I,1,3,mixed,3
269,355,355,34.751020,-7.8244,693072,9134713,1,alongside,7,1_upstream,2011,3,3,34,early,314,314,I,1,3,mixed,5
270,326,326,34.724750,-7.83244,690171,9133836,1,alongside,7,1_upstream,2011,3,3,34,early,278.15,278,I,1,3,mixed,4
271,449,449,34.819360,-7.78665,700628,9138857,2,perpendicular,3,1_upstream,2011,3,3,35,early,1394.79,1395,E,3,3,mixed,5
272,432,432,34.783040,-7.74899,696639,9143039,2,perpendicular,3,1_upstream,2011,3,3,35,early,6553.89,6554,G,2,2,browser,1
277,664,664,34.929780,-7.68017,712862,9150580,2,perpendicular,4,2_midstream,2011,3,3,36,early,734.1,734,G,2,2,browser,1
279,684,684,34.930870,-7.67458,712985,9151198,2,perpendicular,4,2_midstream,2011,3,3,36,early,1070.37,1070,E,3,3,mixed,9
280,685,685,34.928580,-7.67092,712734,9151604,2,perpendicular,4,2_midstream,2011,3,3,36,early,1370.57,1371,G,2,2,browser,1
281,1334,1334,34.911490,-7.64172,710862,9154842,2,perpendicular,4,2_midstream,2011,3,3,36,early,2851.08,2851,I,1,3,mixed,1
282,1334,1334,34.911090,-7.63724,710821,9155338,2,perpendicular,4,2_midstream,2011,3,3,36,early,2382.41,2382,I,1,3,mixed,1
283,1334,1334,34.916600,-7.62249,711436,9156967,2,perpendicular,4,2_midstream,2011,3,3,36,early,655.42,655,G,2,2,browser,1
284,1334,1334,34.918960,-7.61424,711700,9157878,2,perpendicular,4,2_midstream,2011,3,3,36,early,320.85,321,I,1,3,mixed,26
286,1334,1334,34.925300,-7.60308,712405,9159110,2,perpendicular,4,2_midstream,2011,3,3,36,early,1738.83,1739,I,1,3,mixed,9
287,1334,1334,34.925300,-7.60308,712405,9159110,2,perpendicular,4,2_midstream,2011,3,3,36,early,1738.83,1739,Z,5,1,grazer,2
288,1334,1334,34.924270,-7.59956,712294,9159499,2,perpendicular,4,2_midstream,2011,3,3,36,early,2037.08,2037,G,2,2,browser,6
289,1334,1334,34.920910,-7.59681,711924,9159805,2,perpendicular,4,2_midstream,2011,3,3,36,early,2225.47,2225,Z,5,1,grazer,3
290,1334,1334,34.920910,-7.59681,711924,9159805,2,perpendicular,4,2_midstream,2011,3,3,36,early,2225.47,2225,G,2,2,browser,3
291,1320,1320,34.887790,-7.55672,708288,9164256,2,perpendicular,4,2_midstream,2011,3,3,36,early,5100.73,5101,I,1,3,mixed,2
